Day,Economy: (New York NY),Recession: (New York NY),Unemployment: (New York NY),Stock market: (New York NY)
1/1/2020,1,<1,2,2
2/1/2020,2,<1,5,2
3/1/2020,2,<1,4,3
4/1/2020,2,<1,3,2
5/1/2020,3,<1,7,1
6/1/2020,3,<1,6,3
7/1/2020,3,<1,5,2
8/1/2020,3,<1,4,3
9/1/2020,3,<1,4,3
10/1/2020,3,<1,3,3
11/1/2020,2,<1,2,1
12/1/2020,2,<1,7,1
13/1/2020,3,<1,6,2
14/1/2020,4,<1,5,3
15/1/2020,3,<1,4,3
16/1/2020,3,<1,3,3
17/1/2020,3,<1,4,3
18/1/2020,2,<1,2,2
19/1/2020,2,<1,7,1
20/1/2020,2,<1,5,4
21/1/2020,2,<1,5,3
22/1/2020,3,<1,5,3
23/1/2020,3,<1,4,3
24/1/2020,2,1,4,2
25/1/2020,1,<1,2,1
26/1/2020,2,<1,6,1
27/1/2020,3,<1,6,3
28/1/2020,3,1,4,3
29/1/2020,4,<1,6,3
30/1/2020,3,<1,4,3
31/1/2020,3,<1,4,3
1/2/2020,2,<1,2,2
2/2/2020,2,<1,5,1
3/2/2020,3,<1,6,4
4/2/2020,4,<1,5,4
5/2/2020,4,<1,5,4
6/2/2020,3,<1,4,3
7/2/2020,3,<1,3,3
8/2/2020,2,<1,3,1
9/2/2020,2,<1,7,1
10/2/2020,3,<1,6,3
11/2/2020,3,<1,4,3
12/2/2020,4,<1,4,3
13/2/2020,3,<1,3,3
14/2/2020,3,<1,3,3
15/2/2020,1,<1,2,1
16/2/2020,2,<1,6,2
17/2/2020,3,<1,5,5
18/2/2020,3,<1,5,3
19/2/2020,3,<1,4,3
20/2/2020,3,<1,3,4
21/2/2020,3,<1,3,2
22/2/2020,2,<1,2,2
23/2/2020,2,<1,7,1
24/2/2020,4,<1,6,9
25/2/2020,4,1,4,11
26/2/2020,4,1,4,10
27/2/2020,4,1,3,15
28/2/2020,3,1,3,18
29/2/2020,3,1,2,6
1/3/2020,3,1,6,4
2/3/2020,4,1,5,12
3/3/2020,3,<1,4,10
4/3/2020,4,<1,4,8
5/3/2020,4,<1,3,8
6/3/2020,3,1,3,9
7/3/2020,2,1,2,3
8/3/2020,3,<1,6,3
9/3/2020,4,3,5,28
10/3/2020,3,2,5,19
11/3/2020,4,1,4,13
12/3/2020,4,3,4,28
13/3/2020,3,2,6,20
14/3/2020,2,1,7,7
15/3/2020,3,1,12,7
16/3/2020,4,4,28,23
17/3/2020,4,5,39,17
18/3/2020,5,4,38,17
19/3/2020,5,3,40,13
20/3/2020,4,2,45,11
21/3/2020,3,2,28,5
22/3/2020,4,2,35,6
23/3/2020,6,2,58,12
24/3/2020,7,2,49,12
25/3/2020,7,2,65,13
26/3/2020,6,2,76,11
27/3/2020,5,1,55,9
28/3/2020,4,1,62,4
29/3/2020,3,1,60,3
30/3/2020,5,1,95,9
31/3/2020,5,1,98,8
1/4/2020,5,1,94,7
2/4/2020,5,1,97,7
3/4/2020,5,1,85,6
4/4/2020,4,1,46,2
5/4/2020,4,1,66,3
6/4/2020,5,1,92,7
7/4/2020,5,1,82,8
8/4/2020,4,1,89,6
9/4/2020,4,1,90,9
10/4/2020,4,1,74,11
11/4/2020,4,1,56,3
12/4/2020,3,1,70,2
13/4/2020,6,1,100,6
14/4/2020,6,1,90,6
15/4/2020,6,1,93,5
16/4/2020,7,1,81,6
17/4/2020,6,1,59,5
18/4/2020,4,1,54,3
19/4/2020,4,<1,76,3
20/4/2020,6,1,95,6
21/4/2020,5,1,75,6
22/4/2020,6,1,77,5
23/4/2020,5,1,69,5
24/4/2020,5,1,53,4
25/4/2020,3,1,52,2
26/4/2020,4,1,99,2
27/4/2020,4,1,97,5
28/4/2020,5,1,80,6
29/4/2020,6,1,72,6
30/4/2020,5,1,67,5
1/5/2020,4,<1,61,6
2/5/2020,3,<1,48,2
3/5/2020,3,1,86,2
4/5/2020,4,<1,80,5
5/5/2020,5,1,66,4
6/5/2020,4,1,65,5
7/5/2020,4,1,60,5
8/5/2020,4,1,56,4
9/5/2020,3,<1,46,2
10/5/2020,3,<1,66,2
11/5/2020,4,<1,78,5
