Day,Travel: (New York NY),Holiday: (New York NY),Flight: (New York NY),Domestic flight: (New York NY),International flight: (New York NY)
1/1/2020,14,20,45,<1,<1
2/1/2020,22,14,44,<1,<1
3/1/2020,24,9,41,<1,<1
4/1/2020,23,7,55,<1,<1
5/1/2020,22,8,50,0,<1
6/1/2020,22,13,47,1,<1
7/1/2020,23,9,49,1,<1
8/1/2020,21,9,56,<1,<1
9/1/2020,21,8,53,<1,<1
10/1/2020,25,8,45,<1,<1
11/1/2020,20,5,55,<1,<1
12/1/2020,21,8,53,<1,<1
13/1/2020,20,9,47,<1,<1
14/1/2020,23,8,50,<1,<1
15/1/2020,20,9,52,<1,<1
16/1/2020,23,10,46,<1,<1
17/1/2020,24,12,43,0,<1
18/1/2020,21,6,52,<1,<1
19/1/2020,18,12,45,<1,<1
20/1/2020,26,23,50,<1,<1
21/1/2020,21,10,51,<1,<1
22/1/2020,22,7,45,<1,<1
23/1/2020,20,7,49,<1,<1
24/1/2020,23,6,42,0,<1
25/1/2020,21,5,49,<1,<1
26/1/2020,19,6,45,<1,<1
27/1/2020,19,6,40,0,<1
28/1/2020,22,5,45,<1,0
29/1/2020,21,5,39,<1,0
30/1/2020,20,5,46,0,<1
31/1/2020,25,6,37,0,<1
1/2/2020,22,4,43,0,<1
2/2/2020,20,5,45,<1,0
3/2/2020,19,6,42,<1,<1
4/2/2020,22,7,41,<1,<1
5/2/2020,21,7,41,<1,<1
6/2/2020,21,5,43,<1,0
7/2/2020,21,7,46,<1,<1
8/2/2020,24,6,41,<1,<1
9/2/2020,25,7,48,<1,<1
10/2/2020,23,10,48,<1,<1
11/2/2020,21,10,44,<1,0
12/2/2020,20,10,43,<1,<1
13/2/2020,19,7,47,<1,<1
14/2/2020,22,10,46,0,<1
15/2/2020,21,9,43,<1,<1
16/2/2020,20,9,42,<1,<1
17/2/2020,23,22,44,<1,<1
18/2/2020,20,8,44,<1,<1
19/2/2020,21,6,41,<1,<1
20/2/2020,19,6,44,<1,<1
21/2/2020,20,6,37,<1,<1
22/2/2020,20,6,39,<1,0
23/2/2020,20,5,44,<1,<1
24/2/2020,22,6,43,<1,<1
25/2/2020,28,6,41,<1,<1
26/2/2020,27,5,46,<1,<1
27/2/2020,26,5,42,<1,<1
28/2/2020,26,5,37,<1,<1
29/2/2020,30,5,38,<1,<1
1/3/2020,28,5,45,<1,0
2/3/2020,30,6,42,<1,<1
3/3/2020,30,5,43,<1,0
4/3/2020,27,5,39,1,<1
5/3/2020,30,5,43,1,<1
6/3/2020,24,6,41,1,<1
7/3/2020,26,4,50,1,<1
8/3/2020,24,6,49,<1,<1
9/3/2020,32,8,54,1,<1
10/3/2020,32,9,62,1,<1
11/3/2020,32,5,70,1,<1
12/3/2020,77,5,100,3,1
13/3/2020,37,4,73,2,<1
14/3/2020,36,3,72,5,<1
15/3/2020,36,3,71,5,<1
16/3/2020,34,4,55,6,<1
17/3/2020,21,5,46,2,<1
18/3/2020,24,3,36,2,<1
19/3/2020,23,5,32,2,1
20/3/2020,22,5,31,2,<1
21/3/2020,20,6,34,1,1
22/3/2020,16,3,32,1,<1
23/3/2020,17,5,25,<1,<1
24/3/2020,16,4,24,1,<1
25/3/2020,13,4,21,<1,0
26/3/2020,13,3,19,<1,<1
27/3/2020,19,4,18,<1,<1
28/3/2020,14,2,21,<1,0
29/3/2020,25,3,23,2,0
30/3/2020,18,3,19,<1,<1
31/3/2020,13,4,17,<1,<1
1/4/2020,13,4,17,<1,<1
2/4/2020,14,4,18,<1,0
3/4/2020,16,6,18,<1,<1
4/4/2020,18,3,16,<1,<1
5/4/2020,13,4,21,<1,0
6/4/2020,14,7,17,<1,<1
7/4/2020,18,5,17,<1,<1
8/4/2020,13,9,16,<1,<1
9/4/2020,12,11,18,<1,<1
10/4/2020,15,11,14,<1,<1
11/4/2020,16,6,20,0,<1
12/4/2020,12,9,18,<1,<1
13/4/2020,12,10,21,<1,<1
14/4/2020,11,6,15,<1,<1
15/4/2020,14,4,15,<1,<1
16/4/2020,13,5,16,0,<1
17/4/2020,17,5,14,<1,<1
18/4/2020,12,3,16,<1,<1
19/4/2020,14,5,17,<1,<1
20/4/2020,13,6,16,<1,<1
21/4/2020,12,5,15,<1,<1
22/4/2020,14,4,18,<1,<1
23/4/2020,13,5,17,<1,<1
24/4/2020,14,5,17,<1,<1
25/4/2020,11,3,20,0,<1
26/4/2020,12,3,15,0,<1
27/4/2020,13,4,20,<1,<1
28/4/2020,12,4,39,<1,<1
29/4/2020,12,4,17,<1,<1
30/4/2020,13,6,18,<1,<1
1/5/2020,17,7,18,<1,<1
2/5/2020,12,4,21,<1,<1
3/5/2020,16,4,24,0,<1
4/5/2020,16,6,19,<1,<1
5/5/2020,15,6,19,<1,1
6/5/2020,16,5,19,<1,<1
7/5/2020,14,6,18,<1,<1
8/5/2020,19,5,19,<1,<1
9/5/2020,16,4,18,0,1
