regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,obitosAcumulado,daily
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-03-29,14,6718903,516,13,27
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-03-30,14,6718903,553,13,37
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-03-31,14,6718903,586,18,33
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-04-01,14,6718903,697,20,111
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-04-02,14,6718903,798,31,101
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-04-03,14,6718903,867,36,69
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-04-04,14,6718903,982,38,115
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-04-05,15,6718903,1068,42,86
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-04-06,15,6718903,1110,47,42
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-04-07,15,6718903,1251,59,141
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-04-08,15,6718903,1449,73,198
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-04-09,15,6718903,1633,82,184
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-04-10,15,6718903,1808,92,175
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-04-11,15,6718903,1905,98,97
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-04-12,16,6718903,1996,106,91
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-04-13,16,6718903,2322,115,326
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-04-14,16,6718903,2393,140,71
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-04-15,16,6718903,2519,167,126
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-04-16,16,6718903,2659,195,140
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-04-17,16,6718903,2946,219,287
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-04-18,16,6718903,3059,237,113
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-04-19,17,6718903,3126,245,67
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-04-20,17,6718903,3243,257,117
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-04-21,17,6718903,3587,283,344
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-04-22,17,6718903,3656,303,69
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-04-23,17,6718903,4027,322,371
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-04-24,17,6718903,4091,347,64
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-04-25,17,6718903,4481,367,390
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-04-26,18,6718903,4498,382,17
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-04-27,18,6718903,5261,404,763
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-04-28,18,6718903,5554,456,293
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-04-29,18,6718903,5689,496,135
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-04-30,18,6718903,5903,535,214
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-05-01,18,6718903,6189,574,286
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-05-02,18,6718903,6448,603,259
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-05-03,19,6718903,6750,631,302
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-05-04,19,6718903,7283,670,533
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-05-05,19,6718903,7832,713,549
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-05-06,19,6718903,8577,764,745
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-05-07,19,6718903,9051,919,474
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-05-08,19,6718903,9672,1002,621
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-05-09,19,6718903,10479,1092,807
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-05-10,20,6718903,10520,1126,41
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-05-11,20,6718903,10619,1172,99
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-05-12,20,6718903,10816,1279,197
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-05-13,20,6718903,11026,1363,210
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-05-14,20,6718903,11264,1509,238
Sudeste,RJ,Rio de Janeiro,33,330455,33005,Metropolitana I,2020-05-15,20,6718903,11715,1631,451
