Day,Unemployment: (State of Rio de Janeiro),Stock market: (State of Rio de Janeiro)
1/1/2020,4,0
2/1/2020,27,1
3/1/2020,21,0
4/1/2020,13,0
5/1/2020,3,0
6/1/2020,33,0
7/1/2020,21,0
8/1/2020,29,1
9/1/2020,30,0
10/1/2020,29,0
11/1/2020,13,0
12/1/2020,8,0
13/1/2020,14,0
14/1/2020,31,0
15/1/2020,28,1
16/1/2020,23,2
17/1/2020,27,0
18/1/2020,15,0
19/1/2020,9,0
20/1/2020,19,0
21/1/2020,29,1
22/1/2020,27,0
23/1/2020,24,1
24/1/2020,24,1
25/1/2020,12,0
26/1/2020,10,0
27/1/2020,33,1
28/1/2020,18,0
29/1/2020,21,0
30/1/2020,27,0
31/1/2020,20,0
1/2/2020,20,0
2/2/2020,11,1
3/2/2020,21,1
4/2/2020,26,0
5/2/2020,29,0
6/2/2020,24,1
7/2/2020,24,0
8/2/2020,18,0
9/2/2020,13,0
10/2/2020,37,0
11/2/2020,32,1
12/2/2020,31,0
13/2/2020,27,0
14/2/2020,32,0
15/2/2020,14,1
16/2/2020,8,0
17/2/2020,26,2
18/2/2020,20,2
19/2/2020,35,1
20/2/2020,24,0
21/2/2020,21,1
22/2/2020,18,0
23/2/2020,7,0
24/2/2020,6,0
25/2/2020,6,0
26/2/2020,16,1
27/2/2020,31,2
28/2/2020,24,3
29/2/2020,14,0
1/3/2020,11,1
2/3/2020,46,2
3/3/2020,24,1
4/3/2020,42,0
5/3/2020,26,2
6/3/2020,35,3
7/3/2020,19,1
8/3/2020,13,0
9/3/2020,40,3
10/3/2020,31,1
11/3/2020,30,2
12/3/2020,26,4
13/3/2020,23,2
14/3/2020,13,0
15/3/2020,12,1
16/3/2020,33,2
17/3/2020,29,1
18/3/2020,30,0
19/3/2020,41,1
20/3/2020,45,3
21/3/2020,27,0
22/3/2020,26,1
23/3/2020,61,1
24/3/2020,29,0
25/3/2020,52,0
26/3/2020,52,0
27/3/2020,79,0
28/3/2020,34,2
29/3/2020,27,0
30/3/2020,70,0
31/3/2020,46,1
1/4/2020,52,1
2/4/2020,73,0
3/4/2020,80,2
4/4/2020,43,0
5/4/2020,26,0
6/4/2020,62,3
7/4/2020,100,0
8/4/2020,68,0
9/4/2020,72,0
10/4/2020,50,1
11/4/2020,22,0
12/4/2020,26,0
13/4/2020,57,2
14/4/2020,79,1
15/4/2020,60,2
16/4/2020,58,1
17/4/2020,58,0
18/4/2020,37,0
19/4/2020,41,2
20/4/2020,61,0
21/4/2020,40,1
22/4/2020,63,1
23/4/2020,54,2
24/4/2020,75,0
25/4/2020,32,1
26/4/2020,24,0
27/4/2020,75,0
28/4/2020,59,4
29/4/2020,74,0
30/4/2020,66,0
1/5/2020,42,1
2/5/2020,28,1
3/5/2020,22,0
4/5/2020,75,0
5/5/2020,74,2
6/5/2020,55,1
7/5/2020,65,1
8/5/2020,51,0
9/5/2020,32,0
10/5/2020,20,0
11/5/2020,55,0
