Day,Quarantine: (State of Rio de Janeiro),Mask: (State of Rio de Janeiro),Symptom: (State of Rio de Janeiro)
1/1/2020,0,4,15
2/1/2020,0,2,17
3/1/2020,0,4,20
4/1/2020,0,5,19
5/1/2020,<1,5,22
6/1/2020,0,3,19
7/1/2020,0,4,17
8/1/2020,0,3,18
9/1/2020,0,4,17
10/1/2020,0,4,16
11/1/2020,0,5,17
12/1/2020,0,5,16
13/1/2020,<1,3,17
14/1/2020,0,4,18
15/1/2020,0,5,20
16/1/2020,0,4,19
17/1/2020,0,4,15
18/1/2020,<1,5,17
19/1/2020,0,5,18
20/1/2020,0,5,18
21/1/2020,<1,4,18
22/1/2020,0,6,20
23/1/2020,<1,4,20
24/1/2020,1,6,21
25/1/2020,0,6,19
26/1/2020,1,6,17
27/1/2020,<1,5,25
28/1/2020,0,6,30
29/1/2020,<1,7,30
30/1/2020,<1,8,27
31/1/2020,1,8,25
1/2/2020,1,7,22
2/2/2020,1,6,19
3/2/2020,1,6,22
4/2/2020,2,5,19
5/2/2020,1,5,23
6/2/2020,1,6,19
7/2/2020,1,6,19
8/2/2020,1,6,20
9/2/2020,1,5,19
10/2/2020,1,4,19
11/2/2020,1,4,22
12/2/2020,<1,5,19
13/2/2020,<1,5,17
14/2/2020,0,7,21
15/2/2020,<1,6,20
16/2/2020,<1,5,19
17/2/2020,0,8,24
18/2/2020,0,9,20
19/2/2020,0,10,19
20/2/2020,<1,7,19
21/2/2020,0,7,19
22/2/2020,<1,4,17
23/2/2020,1,6,17
24/2/2020,1,4,15
25/2/2020,1,6,23
26/2/2020,1,14,42
27/2/2020,1,12,39
28/2/2020,<1,12,45
29/2/2020,1,9,31
1/3/2020,1,6,30
2/3/2020,<1,4,27
3/3/2020,1,5,27
4/3/2020,1,5,24
5/3/2020,1,4,26
6/3/2020,<1,4,26
7/3/2020,1,4,27
8/3/2020,1,3,23
9/3/2020,1,5,25
10/3/2020,2,3,30
11/3/2020,1,5,35
12/3/2020,5,11,68
13/3/2020,6,20,95
14/3/2020,6,17,83
15/3/2020,29,16,68
16/3/2020,25,20,95
17/3/2020,27,28,100
18/3/2020,32,27,94
19/3/2020,34,22,82
20/3/2020,35,27,82
21/3/2020,39,25,76
22/3/2020,42,24,67
23/3/2020,39,24,69
24/3/2020,37,24,61
25/3/2020,41,16,53
26/3/2020,33,14,45
27/3/2020,34,13,40
28/3/2020,33,13,42
29/3/2020,28,13,40
30/3/2020,27,12,32
31/3/2020,19,20,31
1/4/2020,20,31,35
2/4/2020,20,72,34
3/4/2020,18,70,39
4/4/2020,22,64,33
5/4/2020,21,51,34
6/4/2020,25,48,31
7/4/2020,19,42,30
8/4/2020,22,42,29
9/4/2020,16,40,29
10/4/2020,18,32,32
11/4/2020,16,38,30
12/4/2020,19,25,32
13/4/2020,20,39,36
14/4/2020,16,40,38
15/4/2020,18,50,38
16/4/2020,19,48,36
17/4/2020,19,54,35
18/4/2020,22,78,39
19/4/2020,21,75,38
20/4/2020,22,75,39
21/4/2020,30,67,40
22/4/2020,25,68,37
23/4/2020,24,77,43
24/4/2020,18,58,40
25/4/2020,19,55,39
26/4/2020,21,49,46
27/4/2020,22,49,47
28/4/2020,19,42,46
29/4/2020,24,56,48
30/4/2020,25,46,50
1/5/2020,17,43,51
2/5/2020,18,41,46
3/5/2020,17,31,39
4/5/2020,16,39,36
5/5/2020,16,36,37
6/5/2020,16,38,39
7/5/2020,15,36,34
8/5/2020,18,37,32
9/5/2020,16,34,35
10/5/2020,17,26,33
11/5/2020,14,29,35
