Day,Unemployment: (San Francisco-Oakland-San Jose CA),Stock market: (San Francisco-Oakland-San Jose CA)
1/1/2020,2,5
2/1/2020,5,4
3/1/2020,5,6
4/1/2020,4,3
5/1/2020,2,1
6/1/2020,4,6
7/1/2020,4,6
8/1/2020,6,10
9/1/2020,5,6
10/1/2020,7,4
11/1/2020,2,3
12/1/2020,4,2
13/1/2020,5,6
14/1/2020,5,7
15/1/2020,5,4
16/1/2020,5,6
17/1/2020,4,7
18/1/2020,1,3
19/1/2020,3,3
20/1/2020,4,11
21/1/2020,4,5
22/1/2020,3,4
23/1/2020,5,5
24/1/2020,8,7
25/1/2020,4,3
26/1/2020,3,2
27/1/2020,4,9
28/1/2020,4,9
29/1/2020,4,7
30/1/2020,4,8
31/1/2020,3,7
1/2/2020,3,5
2/2/2020,3,2
3/2/2020,5,10
4/2/2020,2,7
5/2/2020,5,8
6/2/2020,5,7
7/2/2020,4,8
8/2/2020,4,3
9/2/2020,2,3
10/2/2020,4,7
11/2/2020,4,5
12/2/2020,4,5
13/2/2020,4,5
14/2/2020,3,6
15/2/2020,2,3
16/2/2020,4,3
17/2/2020,3,11
18/2/2020,7,7
19/2/2020,7,4
20/2/2020,5,9
21/2/2020,3,10
22/2/2020,4,4
23/2/2020,2,2
24/2/2020,3,23
25/2/2020,5,30
26/2/2020,4,25
27/2/2020,3,33
28/2/2020,3,50
29/2/2020,3,18
1/3/2020,2,12
2/3/2020,4,35
3/3/2020,2,27
4/3/2020,5,22
5/3/2020,3,16
6/3/2020,2,23
7/3/2020,2,11
8/3/2020,3,6
9/3/2020,6,75
10/3/2020,3,58
11/3/2020,5,39
12/3/2020,8,71
13/3/2020,11,68
14/3/2020,13,19
15/3/2020,13,18
16/3/2020,38,66
17/3/2020,72,46
18/3/2020,70,44
19/3/2020,64,37
20/3/2020,63,32
21/3/2020,47,15
22/3/2020,31,14
23/3/2020,55,37
24/3/2020,51,33
25/3/2020,66,31
26/3/2020,90,28
27/3/2020,81,27
28/3/2020,63,8
29/3/2020,54,10
30/3/2020,92,25
31/3/2020,94,20
1/4/2020,91,19
2/4/2020,100,18
3/4/2020,91,15
4/4/2020,62,6
5/4/2020,57,6
6/4/2020,67,18
7/4/2020,65,22
8/4/2020,72,18
9/4/2020,71,22
10/4/2020,72,40
11/4/2020,58,10
12/4/2020,52,7
13/4/2020,74,21
14/4/2020,76,18
15/4/2020,67,14
16/4/2020,74,15
17/4/2020,63,13
18/4/2020,52,5
19/4/2020,46,7
20/4/2020,65,13
21/4/2020,65,14
22/4/2020,54,13
23/4/2020,53,12
24/4/2020,53,10
25/4/2020,41,7
26/4/2020,44,5
27/4/2020,57,13
28/4/2020,80,13
29/4/2020,67,16
30/4/2020,57,14
1/5/2020,50,15
2/5/2020,42,8
3/5/2020,37,7
4/5/2020,47,10
5/5/2020,41,12
6/5/2020,35,11
7/5/2020,42,10
8/5/2020,46,13
9/5/2020,39,7
10/5/2020,37,6
11/5/2020,36,12
