Day,Quarantine: (San Francisco-Oakland-San Jose CA),Mask: (San Francisco-Oakland-San Jose CA),Symptom: (San Francisco-Oakland-San Jose CA)
1/1/2020,<1,5,8
2/1/2020,<1,3,8
3/1/2020,0,4,9
4/1/2020,0,3,9
5/1/2020,0,3,7
6/1/2020,<1,4,9
7/1/2020,<1,4,8
8/1/2020,<1,4,9
9/1/2020,0,4,12
10/1/2020,0,6,10
11/1/2020,0,3,8
12/1/2020,0,3,9
13/1/2020,0,5,8
14/1/2020,<1,4,11
15/1/2020,0,5,7
16/1/2020,0,3,7
17/1/2020,<1,3,7
18/1/2020,<1,3,9
19/1/2020,0,4,10
20/1/2020,0,4,7
21/1/2020,<1,6,11
22/1/2020,<1,7,13
23/1/2020,1,8,14
24/1/2020,1,11,16
25/1/2020,<1,12,18
26/1/2020,1,16,19
27/1/2020,1,16,19
28/1/2020,1,21,18
29/1/2020,1,14,18
30/1/2020,1,15,22
31/1/2020,1,22,23
1/2/2020,1,22,25
2/2/2020,<1,13,15
3/2/2020,1,16,15
4/2/2020,2,14,15
5/2/2020,1,13,15
6/2/2020,1,11,16
7/2/2020,1,11,14
8/2/2020,2,9,13
9/2/2020,1,11,14
10/2/2020,1,10,14
11/2/2020,1,9,15
12/2/2020,1,7,12
13/2/2020,1,9,12
14/2/2020,1,7,11
15/2/2020,<1,8,10
16/2/2020,<1,6,14
17/2/2020,1,7,10
18/2/2020,1,6,10
19/2/2020,1,8,11
20/2/2020,<1,7,9
21/2/2020,<1,5,12
22/2/2020,1,8,13
23/2/2020,1,8,13
24/2/2020,3,8,12
25/2/2020,1,12,14
26/2/2020,2,24,19
27/2/2020,2,27,25
28/2/2020,2,23,25
29/2/2020,1,26,26
1/3/2020,1,16,27
2/3/2020,2,18,30
3/3/2020,2,15,30
4/3/2020,2,10,26
5/3/2020,3,13,30
6/3/2020,5,15,33
7/3/2020,4,14,36
8/3/2020,7,11,31
9/3/2020,6,10,30
10/3/2020,5,12,36
11/3/2020,8,10,40
12/3/2020,10,14,63
13/3/2020,16,15,60
14/3/2020,13,16,47
15/3/2020,14,14,47
16/3/2020,38,14,51
17/3/2020,25,17,52
18/3/2020,16,18,40
19/3/2020,13,18,42
20/3/2020,16,21,33
21/3/2020,18,27,36
22/3/2020,17,30,39
23/3/2020,15,25,34
24/3/2020,11,24,34
25/3/2020,12,22,28
26/3/2020,11,25,23
27/3/2020,11,26,29
28/3/2020,13,29,26
29/3/2020,12,35,26
30/3/2020,12,27,26
31/3/2020,11,35,22
1/4/2020,11,38,25
2/4/2020,9,51,26
3/4/2020,10,88,18
4/4/2020,11,100,25
5/4/2020,10,71,20
6/4/2020,8,53,16
7/4/2020,8,46,14
8/4/2020,9,44,19
9/4/2020,8,44,16
10/4/2020,9,39,12
11/4/2020,12,42,18
12/4/2020,7,31,14
13/4/2020,9,28,14
14/4/2020,10,35,15
15/4/2020,10,33,11
16/4/2020,10,37,12
17/4/2020,9,46,11
18/4/2020,12,78,9
19/4/2020,12,55,13
20/4/2020,9,39,13
21/4/2020,8,42,14
22/4/2020,7,45,13
23/4/2020,9,39,14
24/4/2020,8,34,14
25/4/2020,8,41,13
26/4/2020,11,33,13
27/4/2020,11,28,16
28/4/2020,7,24,13
29/4/2020,10,26,11
30/4/2020,8,26,14
1/5/2020,8,31,11
2/5/2020,7,35,12
3/5/2020,8,31,12
4/5/2020,8,31,13
5/5/2020,8,29,11
6/5/2020,6,28,12
7/5/2020,6,26,10
8/5/2020,7,28,10
9/5/2020,6,29,12
10/5/2020,6,26,13
11/5/2020,4,25,10
