Day,Travel: (San Francisco-Oakland-San Jose CA),Holiday: (San Francisco-Oakland-San Jose CA),Flight: (San Francisco-Oakland-San Jose CA)
1/1/2020,20,30,42
2/1/2020,25,19,53
3/1/2020,24,12,53
4/1/2020,25,7,50
5/1/2020,25,6,54
6/1/2020,24,13,54
7/1/2020,25,9,55
8/1/2020,27,11,55
9/1/2020,25,10,53
10/1/2020,24,9,53
11/1/2020,23,4,57
12/1/2020,24,7,58
13/1/2020,22,13,54
14/1/2020,28,12,45
15/1/2020,24,11,47
16/1/2020,27,10,53
17/1/2020,25,15,50
18/1/2020,24,11,54
19/1/2020,22,13,48
20/1/2020,21,37,50
21/1/2020,29,10,50
22/1/2020,23,8,53
23/1/2020,24,6,47
24/1/2020,22,8,46
25/1/2020,25,7,43
26/1/2020,19,5,45
27/1/2020,28,8,45
28/1/2020,27,6,44
29/1/2020,26,5,42
30/1/2020,21,5,44
31/1/2020,29,5,47
1/2/2020,29,5,48
2/2/2020,23,4,42
3/2/2020,25,10,43
4/2/2020,26,6,41
5/2/2020,25,7,44
6/2/2020,21,7,40
7/2/2020,25,9,41
8/2/2020,22,7,46
9/2/2020,25,6,51
10/2/2020,21,13,46
11/2/2020,25,11,49
12/2/2020,24,11,42
13/2/2020,22,9,43
14/2/2020,23,14,43
15/2/2020,25,9,43
16/2/2020,23,12,47
17/2/2020,23,35,46
18/2/2020,23,9,48
19/2/2020,22,5,38
20/2/2020,23,7,44
21/2/2020,25,8,38
22/2/2020,23,5,46
23/2/2020,23,4,42
24/2/2020,32,8,49
25/2/2020,31,6,41
26/2/2020,31,5,40
27/2/2020,32,6,38
28/2/2020,31,4,38
29/2/2020,34,4,43
1/3/2020,33,3,44
2/3/2020,34,7,41
3/3/2020,29,6,37
4/3/2020,33,5,40
5/3/2020,30,5,45
6/3/2020,28,5,44
7/3/2020,27,4,48
8/3/2020,28,5,54
9/3/2020,36,6,52
10/3/2020,34,7,62
11/3/2020,39,5,66
12/3/2020,100,4,88
13/3/2020,53,3,75
14/3/2020,55,4,74
15/3/2020,39,2,65
16/3/2020,43,4,55
17/3/2020,31,4,46
18/3/2020,23,4,40
19/3/2020,28,6,32
20/3/2020,28,6,29
21/3/2020,21,3,32
22/3/2020,18,2,32
23/3/2020,16,3,21
24/3/2020,15,3,22
25/3/2020,15,4,20
26/3/2020,12,4,17
27/3/2020,13,3,17
28/3/2020,14,2,19
29/3/2020,15,2,16
30/3/2020,14,6,21
31/3/2020,14,6,17
1/4/2020,13,5,15
2/4/2020,13,5,18
3/4/2020,14,5,14
4/4/2020,12,2,14
5/4/2020,15,2,15
6/4/2020,13,8,17
7/4/2020,13,6,14
8/4/2020,14,7,17
9/4/2020,12,12,14
10/4/2020,13,16,13
11/4/2020,11,3,15
12/4/2020,15,6,16
13/4/2020,11,9,15
14/4/2020,12,4,14
15/4/2020,16,4,14
16/4/2020,12,3,15
17/4/2020,14,3,17
18/4/2020,14,1,17
19/4/2020,14,3,17
20/4/2020,14,5,15
21/4/2020,14,5,14
22/4/2020,13,5,12
23/4/2020,12,4,14
24/4/2020,13,4,15
25/4/2020,11,2,15
26/4/2020,14,2,15
27/4/2020,14,6,18
28/4/2020,14,7,14
29/4/2020,15,7,13
30/4/2020,16,9,15
1/5/2020,12,9,13
2/5/2020,13,4,17
3/5/2020,17,5,20
4/5/2020,16,9,19
5/5/2020,16,7,16
6/5/2020,13,6,18
7/5/2020,13,5,15
8/5/2020,13,5,17
9/5/2020,16,4,18
10/5/2020,15,4,22
11/5/2020,13,7,19
