Week,Unemployment: (New York NY),Stock market: (New York NY)
12/5/2019,4,3
19/5/2019,4,2
26/5/2019,4,2
2/6/2019,4,2
9/6/2019,4,2
16/6/2019,4,2
23/6/2019,4,2
30/6/2019,4,2
7/7/2019,5,2
14/7/2019,4,2
21/7/2019,4,2
28/7/2019,4,2
4/8/2019,4,4
11/8/2019,4,4
18/8/2019,4,3
25/8/2019,4,3
1/9/2019,4,2
8/9/2019,4,2
15/9/2019,3,2
22/9/2019,4,2
29/9/2019,4,3
6/10/2019,4,2
13/10/2019,4,3
20/10/2019,4,2
27/10/2019,4,2
3/11/2019,4,3
10/11/2019,4,2
17/11/2019,5,2
24/11/2019,4,3
1/12/2019,4,2
8/12/2019,4,2
15/12/2019,4,2
22/12/2019,4,2
29/12/2019,5,3
5/1/2020,5,3
12/1/2020,5,2
19/1/2020,5,3
26/1/2020,5,3
2/2/2020,5,4
9/2/2020,5,3
16/2/2020,5,3
23/2/2020,5,12
1/3/2020,5,10
8/3/2020,6,21
15/3/2020,40,17
22/3/2020,71,11
29/3/2020,100,7
5/4/2020,93,8
12/4/2020,94,6
19/4/2020,88,5
26/4/2020,91,5
3/5/2020,78,4
10/5/2020,77,4
