Week,Unemployment: (State of Rio de Janeiro),Stock market: (State of Rio de Janeiro)
12/5/2019,36,1
19/5/2019,37,1
26/5/2019,39,<1
2/6/2019,35,1
9/6/2019,34,1
16/6/2019,36,<1
23/6/2019,42,1
30/6/2019,39,1
7/7/2019,35,1
14/7/2019,37,1
21/7/2019,34,1
28/7/2019,34,1
4/8/2019,37,1
11/8/2019,36,1
18/8/2019,37,1
25/8/2019,34,<1
1/9/2019,32,1
8/9/2019,33,1
15/9/2019,34,<1
22/9/2019,39,1
29/9/2019,34,<1
6/10/2019,31,1
13/10/2019,31,1
20/10/2019,32,1
27/10/2019,34,1
3/11/2019,33,1
10/11/2019,34,<1
17/11/2019,35,1
24/11/2019,31,1
1/12/2019,29,<1
8/12/2019,27,1
15/12/2019,29,1
22/12/2019,22,1
29/12/2019,26,1
5/1/2020,36,1
12/1/2020,36,1
19/1/2020,35,1
26/1/2020,36,1
2/2/2020,40,1
9/2/2020,38,1
16/2/2020,37,<1
23/2/2020,30,1
1/3/2020,47,1
8/3/2020,45,3
15/3/2020,55,2
22/3/2020,79,2
29/3/2020,93,1
5/4/2020,100,1
12/4/2020,98,1
19/4/2020,85,1
26/4/2020,84,1
3/5/2020,87,1
10/5/2020,82,1
