Week,Quarantine: (State of Rio de Janeiro),Mask: (State of Rio de Janeiro),Symptom: (State of Rio de Janeiro)
12/5/2019,<1,5,25
19/5/2019,<1,5,23
26/5/2019,<1,5,24
2/6/2019,<1,5,22
9/6/2019,<1,5,22
16/6/2019,<1,5,20
23/6/2019,<1,6,21
30/6/2019,<1,5,20
7/7/2019,<1,5,19
14/7/2019,<1,6,18
21/7/2019,<1,6,19
28/7/2019,<1,6,19
4/8/2019,<1,6,18
11/8/2019,<1,5,18
18/8/2019,<1,6,19
25/8/2019,<1,6,21
1/9/2019,<1,6,20
8/9/2019,<1,5,20
15/9/2019,<1,5,21
22/9/2019,<1,6,19
29/9/2019,0,6,18
6/10/2019,<1,7,17
13/10/2019,<1,5,20
20/10/2019,<1,6,21
27/10/2019,<1,7,19
3/11/2019,<1,5,20
10/11/2019,<1,5,19
17/11/2019,<1,5,19
24/11/2019,<1,4,18
1/12/2019,<1,5,19
8/12/2019,<1,5,19
15/12/2019,<1,5,20
22/12/2019,0,5,20
29/12/2019,0,4,21
5/1/2020,<1,4,21
12/1/2020,<1,5,20
19/1/2020,<1,5,23
26/1/2020,<1,8,32
2/2/2020,1,7,21
9/2/2020,<1,6,21
16/2/2020,<1,9,23
23/2/2020,1,11,38
1/3/2020,1,5,30
8/3/2020,4,11,58
15/3/2020,36,27,100
22/3/2020,43,22,62
29/3/2020,25,44,38
5/4/2020,23,49,36
12/4/2020,23,57,41
19/4/2020,25,82,46
26/4/2020,24,52,54
3/5/2020,20,39,41
10/5/2020,16,31,37
