Week,Travel: (State of Rio de Janeiro),Holiday: (State of Rio de Janeiro),Flight: (State of Rio de Janeiro)
12/5/2019,42,17,33
19/5/2019,41,21,35
26/5/2019,39,22,35
2/6/2019,38,26,32
9/6/2019,39,39,32
16/6/2019,48,79,37
23/6/2019,45,29,32
30/6/2019,45,19,33
7/7/2019,45,22,33
14/7/2019,45,12,34
21/7/2019,46,12,37
28/7/2019,43,13,33
4/8/2019,39,14,32
11/8/2019,43,19,35
18/8/2019,40,16,34
25/8/2019,39,12,31
1/9/2019,38,28,31
8/9/2019,41,14,33
15/9/2019,42,16,31
22/9/2019,39,17,32
29/9/2019,37,22,41
6/10/2019,35,41,44
13/10/2019,43,73,34
20/10/2019,43,73,34
27/10/2019,40,63,31
3/11/2019,42,28,34
10/11/2019,41,67,34
17/11/2019,43,78,39
24/11/2019,37,14,39
1/12/2019,38,13,36
8/12/2019,39,12,37
15/12/2019,41,13,35
22/12/2019,53,23,41
29/12/2019,56,39,44
5/1/2020,58,41,41
12/1/2020,54,70,37
19/1/2020,48,58,36
26/1/2020,44,17,32
2/2/2020,34,18,33
9/2/2020,41,16,25
16/2/2020,42,25,23
23/2/2020,41,41,23
1/3/2020,37,28,21
8/3/2020,38,25,26
15/3/2020,30,11,40
22/3/2020,20,10,16
29/3/2020,22,18,16
5/4/2020,20,33,20
12/4/2020,19,31,17
19/4/2020,19,100,16
26/4/2020,18,25,24
3/5/2020,19,12,15
10/5/2020,20,9,15
