Week,Quarantine: (San Francisco-Oakland-San Jose CA),Mask: (San Francisco-Oakland-San Jose CA),Symptom: (San Francisco-Oakland-San Jose CA)
12/5/2019,<1,6,15
19/5/2019,<1,6,16
26/5/2019,<1,5,16
2/6/2019,<1,5,16
9/6/2019,<1,5,17
16/6/2019,<1,6,16
23/6/2019,<1,6,16
30/6/2019,<1,6,14
7/7/2019,<1,6,16
14/7/2019,<1,5,17
21/7/2019,0,6,16
28/7/2019,<1,6,15
4/8/2019,<1,6,15
11/8/2019,<1,6,15
18/8/2019,<1,6,14
25/8/2019,<1,6,14
1/9/2019,<1,6,15
8/9/2019,<1,5,14
15/9/2019,<1,6,15
22/9/2019,<1,7,16
29/9/2019,<1,7,15
6/10/2019,<1,7,15
13/10/2019,<1,8,15
20/10/2019,<1,11,16
27/10/2019,<1,14,13
3/11/2019,<1,6,15
10/11/2019,<1,7,16
17/11/2019,<1,5,16
24/11/2019,0,6,15
1/12/2019,<1,6,15
8/12/2019,<1,6,14
15/12/2019,<1,6,16
22/12/2019,<1,6,15
29/12/2019,<1,7,18
5/1/2020,<1,6,17
12/1/2020,<1,6,15
19/1/2020,1,12,22
26/1/2020,2,33,36
2/2/2020,2,23,28
9/2/2020,2,15,24
16/2/2020,2,12,21
23/2/2020,3,34,37
1/3/2020,5,25,54
8/3/2020,17,23,79
15/3/2020,38,35,82
22/3/2020,21,47,53
29/3/2020,21,100,43
5/4/2020,17,85,30
12/4/2020,18,72,24
19/4/2020,16,75,23
26/4/2020,16,53,23
3/5/2020,12,50,21
10/5/2020,12,46,20
