Week,Travel: (San Francisco-Oakland-San Jose CA),Holiday: (San Francisco-Oakland-San Jose CA),Flight: (San Francisco-Oakland-San Jose CA)
12/5/2019,24,5,48
19/5/2019,25,6,49
26/5/2019,25,8,49
2/6/2019,26,7,52
9/6/2019,25,4,52
16/6/2019,26,4,54
23/6/2019,27,4,54
30/6/2019,26,10,52
7/7/2019,26,4,52
14/7/2019,25,4,52
21/7/2019,24,4,49
28/7/2019,25,5,49
4/8/2019,23,5,49
11/8/2019,22,6,49
18/8/2019,22,6,48
25/8/2019,23,7,49
1/9/2019,21,9,46
8/9/2019,21,6,50
15/9/2019,21,6,50
22/9/2019,21,6,46
29/9/2019,21,9,45
6/10/2019,19,11,43
13/10/2019,21,13,44
20/10/2019,20,8,44
27/10/2019,18,10,38
3/11/2019,21,17,43
10/11/2019,21,19,42
17/11/2019,22,15,44
24/11/2019,21,23,49
1/12/2019,21,22,50
8/12/2019,20,23,42
15/12/2019,22,27,46
22/12/2019,21,100,53
29/12/2019,22,17,48
5/1/2020,25,10,52
12/1/2020,22,10,52
19/1/2020,24,12,46
26/1/2020,23,6,45
2/2/2020,23,7,41
9/2/2020,23,10,45
16/2/2020,23,12,42
23/2/2020,30,5,40
1/3/2020,31,5,41
8/3/2020,50,5,66
15/3/2020,30,4,43
22/3/2020,15,3,21
29/3/2020,14,4,17
5/4/2020,12,8,15
12/4/2020,13,5,15
19/4/2020,13,4,15
26/4/2020,13,6,16
3/5/2020,15,6,17
10/5/2020,16,5,20
